Código;Nombre;Fecha Inicio;Fecha Vencimiento;Fecha Finalización;Código cliente;Cliente;Estado;Código tipo;Tipo;Responsable;Delegación;Teléfono;Mail;Idioma;Se puede contactar o no
P21S/05792;ADIDAS - PORTUGAL - Norteshopping, Loja 0.403, Rua Sara Afonso, Nº 105-117 - 3501;25/10/2021;;;1;ADIDAS PORTUGAL - ARTIGOS DE DESPORTO, LDA;Abierto;TP1;General;Fran Ullod - Optima Retail;Intracomunitaria;229518381;pt_adidas_spcs_norteshopping@adidas.com;PT;SI
P21S/05794;ADIDAS - PORTUGAL,  Lisboa - Estadio da Luz, Avenida General Norton de Matos - 3511;25/10/2021;;;1;ADIDAS PORTUGAL - ARTIGOS DE DESPORTO, LDA;Abierto;TP1;General;Fran Ullod - Optima Retail;Intracomunitaria;217151380;pt_adidas_spvs_lisboa_loja@adidas.com;PT;SI
P21S/05796;ADIDAS - PORTUGAL,  Modivas  - Vila do Conde - Porto Fashion Outlet - Loja 119-121, Av. Fonte Cova, Nº 400 - 3552;25/10/2021;;;1;ADIDAS PORTUGAL - ARTIGOS DE DESPORTO, LDA;Abierto;TP1;General;Fran Ullod - Optima Retail;Intracomunitaria;229260882;pt_adidas_mbfo_modivas@adidas.com;PT;SI
P21S/05793;ADIDAS - PORTUGAL, Afurada - Arrabida Shopping, Loja 453, Praceta Henrique Moreira, 244, Afurada - 3502;25/10/2021;;;1;ADIDAS PORTUGAL - ARTIGOS DE DESPORTO, LDA;Abierto;TP1;General;Fran Ullod - Optima Retail;Intracomunitaria;223716672;pt_adidas_socs_arrabida@adidas.com;PT;SI
P19/00760;DESIGUAL - ESP VLDID RIO SHOPPING (R680);17/10/2019;;;2;Sepalememe, S.L.U. (DESIGUAL ESPAÑA);Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;983 326 116;680rioshopping@desigual.com;ESP;SI
P18/00217;DESIGUAL - ESP, LPALM ARENAS - R603;23/05/2018;;;2;NTS IT'S NOT THE SAME CANARY (DESIGUAL CANARIAS);Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;928 473 067;603lasarenas@desigual.com;ESP;SI
P20/00306;PANDORA - SPAIN, ECI 025 Barcelona, Can Dragó, Paseo de Andreu Nin, 51 (P231);06/03/2020;;;3;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;932439000;ecicandrago@pandora-spain.com;ESP;SI
P20/00305;PANDORA - SPAIN, ECI 025 Camponaciones, Madrid, Av. de los Andes, 50 (P230);06/03/2020;;;3;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;913248800;ecicampodelasnaciones@pandora-spain.com;ESP;SI
P20/00309;PANDORA - SPAIN, ECI 025 Constitución, Valladolid, C/ Constitución, 2 (P234);06/03/2020;;;3;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;983231500;eciconstitucion@pandora-spain.com;ESP;SI
P20/00312;PANDORA - SPAIN, ECI 025 Costa Mijas, Mijas, CN 340, Km 210 (P237);06/03/2020;;;3;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;952669100;ecicostamijas@pandora-spain.com;ESP;SI
P20/00319;PANDORA - SPAIN, ECI 025 Francesc Macià, Av. Diagonal, 471 (P243);06/03/2020;;;4;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;934934800;ecifrancescmacia@pandora-spain.com;ESP;SI
P20/00335;PANDORA - SPAIN, ECI 025 Marineda, A Coruña, P.I. de la Grela, Estrada Baños de Arteixo, s/n (P437);09/03/2020;;;4;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;981189350;ecimarineda@pandora-spain.com;ESP;SI
P20/00336;PANDORA - SPAIN, ECI 025 Mendez Alvaro, Madrid, Retama, 8 (P438);09/03/2020;;;4;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;914688000;ecimendezalvaro@pandora-spain.com;ESP;SI
P20/00339;PANDORA - SPAIN, ECI 025 Parque Burgos, Burgos, Ctra. Madrid-Irun Km 236 (P440);09/03/2020;;;4;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;947279000;JefeDivision02HipercorBurgos@elcorteingles.es;ESP;SI
P20/00340;PANDORA - SPAIN, ECI 025 Parque Sur, Leganés, Av. Gran Bretaña s/n (P441);09/03/2020;;;4;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;915584400;eciparquesur@pandora-spain.com;ESP;SI
P20/00341;PANDORA - SPAIN, ECI 025 Portal Del Angel, Barcelona, Av. Portal de L'Angel, 19 (P442);09/03/2020;;;5;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;933063800;eciportaldelangel@pandora-spain.com;ESP;SI
P20/00344;PANDORA - SPAIN, ECI 025 Puerto Venecia, Zaragoza, Av. Isla de Murano, 15 (P445);09/03/2020;;;5;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;976188035;ecipuertovenecia@pandora-spain.com;ESP;SI
P20/00295;PANDORA - SPAIN, ECI 025, A Coruña, C/ Ramón y Cajal, 57-59 (P220);06/03/2020;;;5;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;981189400;eciacoruna@pandora-spain.com;ESP;SI
P20/00296;PANDORA - SPAIN, ECI 025, Albacete, Av. de España, 30 (P221);06/03/2020;;;5;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;967198400;ecialbacete2@pandora-spain.com;ESP;SI
P20/00299;PANDORA - SPAIN, ECI 025, Arroyomolinos, Paseo de Extremadura Km 23 (P224);06/03/2020;;;6;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;916496535;eciarroyomolinos@pandora-spain.com;ESP;SI
P20/00300;PANDORA - SPAIN, ECI 025, Avilés, Ctra. de Grado, s/n (P225);06/03/2020;;;7;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;985129400;eciaviles@pandora-spain.com;ESP;SI
P20/00301;PANDORA - SPAIN, ECI 025, Badajoz, Pza. de los Conquistadores, s/n (P226);06/03/2020;;;8;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;924213300;ecibadajoz@pandora-spain.com;ESP;SI
P20/00304;PANDORA - SPAIN, ECI 025, Burgos, C/ La Moneda, 9 (P229);06/03/2020;;;1;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;947256770;jefedivision02eciburgos@elcorteingles.es;ESP;SI
P20/00313;PANDORA - SPAIN, ECI 025, Eibar, Ego Gain, 7 (P238);06/03/2020;;;2;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;943708800;;ESP;SI
P20/00317;PANDORA - SPAIN, ECI 025, El Tiro, Av. Severo ochoa, s/n (P242);06/03/2020;;;3;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;968279120;resparea04_eltiro@elcorteingles.es;ESP;SI
P20/00320;PANDORA - SPAIN, ECI 025, Girona, C/ Barcelona, 106-110 (P244);06/03/2020;;;5;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;972188400;ecigerona@pandora-spain.com;ESP;SI
P20/00328;PANDORA - SPAIN, ECI 025, Guadalajara, AV. Eduardo Guitán, s/n  (P247);09/03/2020;;;9;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;949349950;eciguadalajara@pandora-spain.com;ESP;SI
P20/00333;PANDORA - SPAIN, ECI 025, León, C/ Fray Luis de León, 29 (P435);09/03/2020;;;10;PANDORA JEWELLERY SPAIN, S.L.;Abierto;TP1;General;Fran Ullod - Optima Retail;Principal;987263100;ecileon@pandora-spain.com;ESP;SI
